"","OTUOfInterest","rep","fold","RMSE(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","MAE(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","R2(100 * CombinedNS$Combined, 100 * CombinedNS$TrueValue)","sum(CombinedNS$PredictedClass == CombinedNS$TrueClass)/length(CombinedNS$TrueClass)","GMM1_Class","GMM2_Class","GMM3_Class","GMM4_Class","GMM5_Class","GMM6_Class","GMM7_Class","GMM8_Class","GMM9_Class","GMM10_Class","GMM11_Class","GMM12_Class","GMM13_Class","GMM14_Class","GMM15_Class","GMM16_Class","GMM17_Class","GMM18_Class","GMM19_Class","GMM20_Class","GMM21_Class","GMM22_Class","GMM23_Class","GMM24_Class","GMM25_Class","GMM26_Class","GMM27_Class","GMM28_Class","GMM29_Class","GMM30_Class","GMM31_Class","GMM32_Class","GMM33_Class","GMM34_Class","GMM35_Class","GMM36_Class","GMM37_Class","GMM38_Class","GMM39_Class","GMM40_Class","GMM41_Class","GMM42_Class","GMM43_Class","GMM44_Class","GMM45_Class","GMM46_Class","GMM47_Class","GMM48_Class","GMM49_Class","GMM50_Class","GMM51_Class","GMM52_Class","GMM53_Class","GMM54_Class","GMM55_Class","GMM56_Class","GMM57_Class","GMM58_Class","GMM59_Class","GMM60_Class","GMM61_Class","GMM62_Class","GMM63_Class","GMM64_Class","GMM65_Class","GMM66_Class","GMM67_Class","GMM68_Class","GMM69_Class","GMM70_Class","GMM71_Class","GMM72_Class","GMM73_Class","GMM74_Class","GMM75_Class","GMM76_Class","GMM77_Class","GMM78_Class","GMM79_Class","GMM80_Class","GMM81_Class","GMM82_Class","GMM83_Class","GMM84_Class","GMM85_Class","Other_Class","GMM1_Reg","GMM2_Reg","GMM3_Reg","GMM4_Reg","GMM5_Reg","GMM6_Reg","GMM7_Reg","GMM8_Reg","GMM9_Reg","GMM10_Reg","GMM11_Reg","GMM12_Reg","GMM13_Reg","GMM14_Reg","GMM15_Reg","GMM16_Reg","GMM17_Reg","GMM18_Reg","GMM19_Reg","GMM20_Reg","GMM21_Reg","GMM22_Reg","GMM23_Reg","GMM24_Reg","GMM25_Reg","GMM26_Reg","GMM27_Reg","GMM28_Reg","GMM29_Reg","GMM30_Reg","GMM31_Reg","GMM32_Reg","GMM33_Reg","GMM34_Reg","GMM35_Reg","GMM36_Reg","GMM37_Reg","GMM38_Reg","GMM39_Reg","GMM40_Reg","GMM41_Reg","GMM42_Reg","GMM43_Reg","GMM44_Reg","GMM45_Reg","GMM46_Reg","GMM47_Reg","GMM48_Reg","GMM49_Reg","GMM50_Reg","GMM51_Reg","GMM52_Reg","GMM53_Reg","GMM54_Reg","GMM55_Reg","GMM56_Reg","GMM57_Reg","GMM58_Reg","GMM59_Reg","GMM60_Reg","GMM61_Reg","GMM62_Reg","GMM63_Reg","GMM64_Reg","GMM65_Reg","GMM66_Reg","GMM67_Reg","GMM68_Reg","GMM69_Reg","GMM70_Reg","GMM71_Reg","GMM72_Reg","GMM73_Reg","GMM74_Reg","GMM75_Reg","GMM76_Reg","GMM77_Reg","GMM78_Reg","GMM79_Reg","GMM80_Reg","GMM81_Reg","GMM82_Reg","GMM83_Reg","GMM84_Reg","GMM85_Reg","Other_Reg"
"Overall","Otu00001",1,1,6.34723837203084,3.7477796036887,0.896333772807101,1,0,0,0,0,0,0,15.1927115545437,0,0,0,0,0,0,0,1.62033959445534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3019646836931,0,0,0,0,0,0,13.919866001649,0,0,0,0,0,2.10460172392934,0,0,0,0,0,100,0,0,0,77.1948581768737,0,0,0,0,0,32.8795004655435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.551330674687,0,0,0,0,0,0,0,0,0,0,0.447826023260513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7280736064687,0,0,0,0,0,0,12.2620640006114,0,0,0,0,0,0,0,0,7.38040499463995,0,0,17.2855091952954,0,0,0,34.5403299954776,0,0,0,0,0,3.58417208300099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2202894265584,0
"Overall1","Otu00001",1,2,5.16792951950984,3.02629908047917,0.882977494077538,0.823529411764706,0,0,0,0,0,0,24.8306222684556,0,0,0,0.260729032726925,0,0,0,4.02533355760937,0,0,0,0,0,3.87915588638708,0.891014677390898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74735678546339,0,0,13.660679554984,0.0305348254574354,0,0,0,0,0,19.6104008456273,0,0,0,7.65434726306235,0,9.86540303995041,5.50756293605883,0,0,0,0,100,0,0,0,85.5795074436012,0.715704892905147,0,0,1.70434387400601,1.81634908686877,21.5669374522818,0.0311542476587058,0,0,3.65158683767606,0,0,0,3.99557381247432,0,0,0,0,10.935646617491,0,0,0,0,0,0,0,0,0,0,6.37842404847823,1.25225397422036,0,0,0,0,2.5594521002961,0,0,0,0,2.24808869830489,0,0,6.49810222711269,1.92496010281105,0,0,0,0,0,1.97688933062268,0,0,0,0,0,3.17876206915738,0,2.74320566509616,3.50010297460941,0,0,2.80998889112755,0,0,1.46502601735829,0,0,3.46476164610897,6.18796227671582,1.89295233877808,0,0,1.84080450749211,3.4069944064619,5.81749090000923,0,0,0.538781896212568,0,0,10.2078732096696,0,0.812095317486194,0,11.9485495772225,3.65602930724195,0.415719744555592,0.67016468915165,0,0,2.97663663213563,0,0,0,1.19207607125032,0,0,0,3.07965329936302,0,0,0,0,2.05970699845306,0,0,3.29649108249697,0
"Overall2","Otu00001",1,3,6.7974359318819,3.50907194886091,0.798579084290406,1,0,0,0,0,0,0,11.6321134837068,0,0,0,0,0,0,0,1.47110955112361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47961136715289,0,0,0,0,0,0,11.0518027551755,0,0,0,0,0,5.11191786151549,7.89934070607323,0,0,0,0,100,0,0,0,68.1145071541347,0,0,0,0,0,23.9455944800893,0,0,0,0,0,0,4.5859733990347,0,0,0,0,0,0,0,0,0,0,3.8583754911287,0,0,0,0,0,5.25906724721582,0.976954518234731,0,0.826772747602574,0,0,1.02822742084851,4.73451352406185,0,0,0,1.61665292555488,0,0,3.28635546822757,0.744016480140695,0,0,0,0,0,2.87442518425162,0,0,0,0,0,2.98903416122442,0,4.06355960078672,0,0,5.64685034427013,1.9710251251348,0,0,1.1709947629157,0,0,4.55028679485004,4.29305560632986,1.25144214525127,0,0,0.381701179379336,1.69762896942902,3.81232601558308,0,0,0.497602164736795,0,0,9.68150683656761,0,0,0,15.2330235005034,1.73037902723716,0,0,0.929496766482065,0,1.16943115950045,0,0,0,0.124514497172411,0,0,0,7.65403563940097,0,0,0,2.85361987964028,0.371751516642712,0,0,2.72137329969484,0
"Overall3","Otu00001",1,4,9.79563100676465,5.93227291827041,0.754097266517166,1,2.60961969232392,0,0,1.7782120178608,0.605696964919162,0.568600892711425,8.03412574138454,0,0,0,0.726353026799628,0.610396093981887,0,0.877169396937958,14.1030274583925,0,0,0,0.421470394968474,0.0333869766865218,2.72851977519912,0.873377071802509,4.33750021518416,0,0,0,0,1.88395816789355,0.492149580490999,0,1.23521125289739,0,0,0,0,1.43929883230421,1.60287572493381,0,0,16.5659594064886,0.979516323783503,2.49758275008895,1.24639988617795,0,0,0,14.4376427016738,0,0,0,2.31136125110769,0,5.37331500469519,3.37149171648278,0,0,0.606384893849839,0,100,0.856148905199048,0,0,88.5667866814975,0,0.701314187604714,0.38053841831877,1.46160211947831,0,16.9678758875564,2.15096031937161,0,0,0.400393744469672,1.6792840962953,0,3.65195263947318,1.16858487376388,0,0,0,3.60044292686745,2.02228174645445,0,0,0,0,3.91626097462559,0,0,7.29288167071007,0,0,3.23880661324404,1.50483544845152,0,1.61968532380413,0,0,2.21328104217991,0,0,0,0,1.40937964856854,0,0,3.41896645197204,2.98806450323124,1.43982272464371,0,0,0,0,2.43709066457332,0,0,0,0,0,0,0,1.3382367481034,0,0,0,2.39586749103335,0,2.67617796360769,4.27936515494141,0,0,2.18368283757917,4.16961568296639,1.74147021026097,0,0,1.01473598812172,2.74361309663005,0,0,0,0.0538033824136181,0,0.179401822312662,7.29443695897765,0,1.06456843975713,0.525349249193986,23.2951591650009,0,0.496633596535774,0.594601107505325,1.10856630454282,0,2.03631378243933,0,0,0,0,0,0,0,1.47809320874699,0,0,0,2.85984002857289,1.74093755219703,1.24715367435235,0,2.00330148820326,0
"Overall4","Otu00001",1,5,16.7023060590697,10.2788298227126,0.885418650184552,0.875,0,0,0,0,0,0,19.0267744990267,0,0,0,0,0,0,0,7.86249277552959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7167041504059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,87.8836092016093,0,0,0,0,0,24.8485728384785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77450119499284,0,0,0,0,3.51069621045036,1.17655958809098,0,3.50274710245888,0,0,0,3.99772880483658,0,0,0,3.09035545377865,0,2.02986272374631,1.60360373694395,0.988601980563388,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21736473497944,0,0,2.84090135995649,3.09190226104975,0,0,4.31271049888422,0,0,0,4.221384939914,1.68330164232469,0,7.0627777528982,0.754627300337441,2.62798952097435,6.34836783850417,0,0,0.0140434502743707,0,0,9.38065993463909,0,0.158458476808321,0,13.0886104068834,5.65590468569377,0,1.25271859292184,2.57504700072366,0,1.40351763877021,0,0.413674407023137,0,0,0,0.99532602193925,0,3.18646724966727,0,3.83374167660538,0,0,0.152796406662556,0,0,2.05304940570304,0
"Overall5","Otu00002",1,1,3.36031904504712,1.76793895316833,0.849201090397692,1,69.0154827535622,37.2464588892452,5.0248352508102,0,0,47.7619754869458,30.530184291374,50.4473976460049,0,7.33370471725282,0,0,0,0,6.45619310263837,0,0,8.65347591785075,0,0,0,0,0,0,0,65.6494930530192,0,0,0,7.26061691544352,0,0,0,91.8178649241393,0,0,0,0,16.2942955958877,20.6839855820713,0,0,40.9991843661659,6.71034213845714,18.5193559089534,0,9.96924932848886,0,37.3862170373116,100,0,23.946718782685,0,0,0,0,8.77799145089612,0,8.76449426584103,30.2690361024006,5.61369205356695,0,20.6114409716783,0,0,0,0,0,0,0,5.76503795727908,41.7624229903348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78298786282211,0.910631929051497,0,2.64733897745351,0.473467496413619,2.6350248102282,0,1.90638220544835,0.267035754296746,0,0,1.05615337907932,0,0,0,1.8696422687266,0,0,5.01663672059351,4.4819762542387,0,0,0,0,0,2.37532148349412,0.0216098778977768,0,3.31826835926931,1.43916545610375,0,0,0.830984894258331,3.55258602406402,4.35054538702799,0.674327644464566,0,0.387038571712036,2.27819829933071,1.14557394703881,0,0.178086498762834,1.2773698481942,0.0514642758630537,1.50672696140341,0,3.31171403263088,0,4.32512461320627,3.88196551229155,0,5.83085914565613,1.63658335474645,0,0.348991712227231,6.70101421996366,0,0.854789849584171,0,2.63633883222886,1.0991011560976,0.0956866021640454,2.41588620965064,4.12767547858347,0,0,1.16764708551142,1.63653900858335,0,0,2.84688873559182,2.47709289795894,0,0,0.697018204360216,3.38952946612752,0,0,0,0,0.896582850804861,0,0,1.18842584479387,0,0
"Overall6","Otu00002",1,2,7.14516780890755,3.09996499601999,0.914215821627078,0.882352941176471,74.570898056812,47.6906867861181,0,0,0,34.8890292501443,26.7183324873273,100,0,0,0,0,0,0,13.8012553368781,2.19792421018909,0,15.0200239741187,0,0,0,0,0,0,0,32.7222249286461,0,0,16.8874136170611,0,0,13.1078344904842,0,0,0,0,0,0,30.9880579505564,16.2961531265563,0,0,32.9885982862115,3.87840338716,18.1935657608064,0,0,0,46.653655662543,86.7137420849642,0,28.9811651454681,0,0,0,0,0,0,0,56.5238497286098,0,0,0,0,0,0,0,0,0,0,5.38534429880096,67.0593581449708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29249160510196,1.00051370620125,0,1.08620889026515,2.72355540609571,1.41749201549835,0,0.727904490030219,0.442777948718004,0.993882107801785,5.95041194249644,0.432186098665107,1.35704747921989,0,0,1.77511465618499,0,0,4.49206889098863,1.55167841456984,0,0,0,0,0,2.06334458857783,0.217264566164397,0,3.9601297135145,0.64644271169863,0,0,0.710362505216154,5.36433266467926,3.327282549651,0.310425353401854,0,0.0428545913873401,1.99534914009419,2.92640815419264,0,0,0.648591744868538,0.195225662145948,1.65813619456733,0,1.85308145646379,0,2.10309182776142,6.90148929989218,0,4.41141950470799,0.716170730887632,0,0,0.279900109718373,0,0.968873328173085,0,1.49502532409919,0.793132433539885,0.195052311481989,9.50204398358995,3.11890756837784,1.17290285393782,0,0.963521998348852,1.24255299078372,0,0,2.28344940154368,1.99105321654353,0,0.438479731773067,0,7.9165494886313,0,0,0,0,0.386205450668565,0,0,0.957613197079208,0,0
"Overall7","Otu00002",1,3,4.36562979808285,1.98529670255561,0.864426116268254,0.941176470588235,77.6618415527723,70.4555975915783,11.500025103136,0,0,73.3475059079554,31.283514514463,100,0,0,0,0,0,0,21.7594362111294,0,0,21.8034504026345,0,0,0,0,0,0,0,66.2302371404973,0,0,0,0,0,13.0018708698627,38.358136905078,82.6469087948395,0,0,0,0,28.5731531347957,58.7147025548619,0,0,33.7159691071865,0,0,0,0,0,81.9086656714578,88.0882243340318,13.6535525609101,32.2233276202614,0,0,0,0,0,0,5.93610673825785,65.1683998933582,11.7005436469068,0,10.910738428128,0,0,0,0,0,0,0,32.242168008541,46.5561365708752,32.0343891746303,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47003401421968,1.72644726954045,0,4.33840119925234,0.652053727192894,3.65127993829207,0,3.96383882031258,0.785825749233871,2.72397367332524,2.63037475871388,2.86125366774248,0,0,0,1.0943681498301,0,0,8.11530838161749,1.34091435003886,0,0,0,0,0,2.30729207330175,0,0,3.53089709660523,0.58815945239295,0,0,0,0,7.19589529830752,1.91655819832868,0,0.387511688448914,1.01971394784334,1.12314263684251,0,0,0.289914080030639,1.12122079168549,2.91861534345036,0,2.43749751770698,0,4.04772891261187,4.08853444920394,0,0,2.56776865163715,0,0,0.510286670707083,0,2.3038989873779,0,2.70553103997754,1.51994167465011,1.5169424271604,1.48630543209464,0,0,0,1.94612418183772,3.1287519041056,0,0,2.48886988046963,3.05634527474143,0,0,0.753999723621378,0,0,0,0,0,1.05995951365052,0,0,3.6285194518968,0,0
"Overall8","Otu00002",1,4,18.5645531665602,7.73987100296413,0.213178704609587,0.75,0,51.2094826773796,0,0,0,0,29.4273403256976,100,0,0,0,0,0,0,20.977728842763,0,0,18.7017113700408,28.8491750457432,0,0,0,0,0,0,45.2054369503226,0,0,0,0,0,0,0,0,0,0,0,0,21.5831483556649,46.982809005088,0,0,35.9840247227312,0,0,0,0,0,66.0441976412516,93.5080945310402,0,22.2067039031642,0,0,0,0,0,0,0,66.1470140303892,0,0,0,0,0,0,0,0,0,0,19.1676342267213,51.5887008574463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51957588436312,3.52948845309287,0,0,0,4.39078023011682,0,3.29086937492027,0,0,0,0,0,0,0,10.30335666335,0,0,0,0,0,0,0,0,0,0,0,0,6.39875307746461,0,0,0,0,7.31695387374605,11.4282891851322,0,0,0,0,3.43929068663268,0,0,1.14897596385246,0,0,0,0,0,3.75167419918771,7.06456017274764,0,0,1.73856701026639,0,0,0,0,0,0,13.9192072165046,0,0,0,0,0,0,0,0,0,0,5.12323689825272,7.63642111036982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall9","Otu00002",1,5,6.07964649469321,2.94375857875815,0.659938124899184,0.875,100,87.3280079838606,0,0,0,97.9308160697542,63.2103547390941,83.1534923334824,0,0,0,0,0,0,5.31954740889058,0,0,20.0506893742818,0,0,0,0,0,0,0,29.6807707539788,0,0,0,0,0,0,0,0,0,0,0,0,24.5937986394201,24.168375580725,0,0,46.8924195038459,0,0,0,0,0,61.8760408072944,0,0,30.8746327005838,0,0,0,0,0,0,0,94.6837903668019,1.85205619576011,0,0,0,0,0,0,0,0,0,7.27437770124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2337272326571,0,0,0,0,8.27820624650782,0,4.26015264752802,0,0,0,0,0,0,0,8.44335766943594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.213041547624,0,0,0,0,0,0,0,0,10.6112293708137,14.4586513879592,0,0,4.8743949403083,0,0,0,0,0,0,24.669332511441,0,0,0.957906445724964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall10","Otu00003",1,1,5.98654812225396,4.12213316890204,0.405221707377755,0.846153846153846,0,0,0,0,0,0,0,0,0,0,0,41.690881981572,0,0,71.8714692218342,0,0,100,0,0,17.5094829302012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2278938255338,18.0104972802048,0,0,0,0,0,0,0,28.2654297959508,0,0,0,0,0,0,0,0,0,0,0,42.527909653365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3519896786516,0,0,43.1730105171771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2779928325721,0,0,0,0,0,0,0,0,0,0,0,0,2.19700697159907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall11","Otu00003",1,2,5.32392052306376,3.29997290311008,0.205553499826294,0.705882352941177,0,0,3.4235862270849,0,0,0,0,0,0,0,0,0,0,0,42.5017188117085,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71770380465251,16.7752072064462,0,0,29.5542816009838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.386179658649,0,0,35.516088592348,0,0,0,0,0,0,0,0,0,0,0,25.1149495251109,0,0,0,8.2147345809431,0,0,0,0,0,0,0,0,0,0,0,0,1.2521884262526,0,0,0,0,0,0,0,0,0,0,0,0.428287818278479,0,19.087571398418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall12","Otu00003",1,3,3.95274949234703,2.12732670173941,0.943352378066682,1,0,0,27.7091909408897,0,0,0,0,0,0,0,0,0,0,0,71.9064902928674,0,0,100,0,0,0,0,0,0,0,2.55341517888845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.1105297489303,51.054016948971,0,0,37.8249494008157,0,0,0,0,16.2166769118384,0,0,0,0,0,0,0,0,0,0,0,27.9378775243968,0,0,0,11.847257035447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9058150354461,0,0,37.3467276375902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4468668832477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30059044371606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall13","Otu00003",1,4,7.39635443017542,4.23800421067258,0.471934070655752,0.9375,0,0,0,0,0,0,0,0,0,0,1.63013394701066,0,0,0,63.1296306240092,0,0.63175891341669,100,13.25426506033,0,31.4838374799429,3.46694751621987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6776010710168,28.8592332521011,0,0,27.5097382332482,0,0,0,0,26.8948765261374,0,0,0,0,0,0,20.5154763143535,0,0,0,0,41.1409860105678,0,0,0,32.9174958983761,0,0,0,0,9.9726721862761,0,0,0,0,0,0,0,0,1.61430269092918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.227054773732,0,0,55.772945226268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall14","Otu00003",1,5,5.82060062949953,3.49399282075028,0.617580810348902,0.875,0,0,26.2201305857379,0,0,0,0,0,0,0,7.8742651293915,50.9027038277208,0,0,83.8502401543996,0,9.35515017150541,100,0,0,42.8982208405618,8.81840631975425,0,0,0,8.12529141438424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9004778455166,54.5963848879128,0,0,33.3583789645264,0,0,0,0,0,0,0,0,0,0,0,28.6134955647392,0,0,0,0,42.5270053308705,0,0,0,20.8625762973669,0,0,0,0,17.9724212666086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2258960986808,0,0,38.2912238990354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99231486725627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32268477746422,0,0,0,0,32.1678803575633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall15","Otu00004",1,1,11.4585314363473,5.60252541251096,0.221479281067727,0.846153846153846,0,0,0,0,0,0,0,22.7932145569291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80950619324436,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32883570293805,0,0,35.9471962777669,0,0,0,50.7816920452078,0,0,38.9933468808452,0,0,0,0,0,0,0,0,0,4.27208561326969,0,0,0,0,0,0,0,0,0,0,0,0,24.9959535749163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0040464250837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall16","Otu00004",1,2,8.19995366621981,4.47017241550721,0.00703994501784441,0.705882352941177,0,37.3857591350286,0,0,0,0,0,23.3265163480527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8411937867885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.8569544620099,100,0,0,0,0,0,0,0,0,0.23820921201692,0,0,0,0,0,0,0,39.8058937369457,0,0,0,0,0,0,71.2345737311598,0,0,53.0548371512271,0,0,0,0,0,0,0,0,0,18.1223161105339,0,0,0,0,0,0,0,0,0,0,0,0,11.3073865357222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.6926134642778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall17","Otu00004",1,3,1.21102303024071,0.770960640894093,NA,0.764705882352941,0,41.862397644572,0,0,8.67498074434328,0,0,51.2021358651488,0,0,0,0,0,0,21.1391293343981,0,0,13.0963306784943,30.0673597334905,14.2422516181165,0,0,0,0,33.9306112678858,0,17.3977753013569,0,13.4832855856499,0,1.56295201797071,0,0,12.15594691027,0,0,0,0,0,0,0,21.3667316207447,44.0506931899807,100,0,0,0,0,0,3.56340940800459,0,0,17.5784825288979,0,0,0,0,0,17.8460690604774,0,39.4535545286565,17.6206922412376,0,68.9548975975966,0,0,0,77.462673222153,0,0,61.3387012946626,0,0,0,0,0,1.99955889217212,0,0,0,30.1157729099254,0,0,0,7.39581255938443,0,0,6.36527009664104,0,15.38490860165,0,0,8.07638084536196,11.1990247057176,0,1.23439758495481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.868240994684,0,0,0,0,0,0,0,0,0,0,0,0,0,30.364481612098,0,0,0,0,0,0,0,0,0,15.8314137206984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6758818381942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall18","Otu00004",1,4,11.1793861491293,5.66958425973962,0.766471612537799,0.75,0,40.1302395093856,0,0,0,0,0,17.9998080741012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56869714667857,0,3.49912444203461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3842539144891,100,0,0,0,0,0,0,0,42.0099258871951,0,0,0,0,0,0,0,0,15.9439004206861,1.98237959687944,0,33.6507260321218,0,0,0,78.4864522510335,0,0,81.8509125696795,0,0,0,0,3.81226510600182,0,0,0,0,2.49341366071898,0,0,0,0,0,0,0,0,3.84106884789573,0,0,3.59595245583514,7.35558882482134,0,0.42288172193262,0,0,0,2.08303658250001,0,4.06641580521398,0,3.67820990061266,0,0,0,0,0,0,0,0,0,0,5.03601909644409,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8857609259029,13.5663502134607,0,0,0,0,0,0,0,17.8295134551521,0,11.3221007269171,0,0,0,0,0,6.70082242495266,9.30349532442802,0,0,0,0,0,0,0,0,0,4.31278369393096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall19","Otu00004",1,5,0.0972876218648524,0.052713826983304,NA,1,1.61702027156059,11.950242230734,0,2.60672116755587,0,0,2.90767124879635,25.7371173746206,0,0,0,0,0,0,4.55028763338659,0,0,8.26460426002438,10.6498310091355,6.65290256512246,0,0,0,0,18.0823679892232,0,7.50644621728858,1.59788186351006,5.97549637563817,2.91010262372492,2.04693658767953,0,0,3.51519582621721,0,1.76806747561069,0,0,0,0,0,6.30560984430601,43.270948494815,100,0,0,5.63889261674046,0,0,5.24110521307635,0,30.9511663658504,3.6068298062094,2.37716388746031,0,0,0,3.58020949655894,7.26367306534277,0,18.1198815649568,6.40981194610461,0,30.2043439236599,0,0,0,42.5624032169785,0.397161440590637,0,53.2021893865054,0,0,0,4.04507070974601,7.90992997869673,1.28425550107097,0,0,0,9.88278774292573,0,0,0,2.86987443083508,0,0,0,0,0,0,0,0,16.0620332289291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.9379667710709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Overall20","Otu00005",1,1,10.0996602882989,5.63797010287114,0.886341078618943,1,0,0,0,0,0,0,0,30.7334371335113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.55461890368,0,0,0,0,0,55.0179205462797,0,0,0,0,0,0,0,0,0,0,0,0,53.0999655415702,0,0,100,0,0,0,31.9215028202438,10.1502616888538,0,0.956238664866377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
